product_name,rating,text,sentiment,sentiment_score,issues
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
CeraVe Cleanser,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,my skin feels so soft,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
La Roche-Posay,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
Cetaphil,3,decent product works fine,neutral,0.0,
Neutrogena,3,decent product works fine,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
Cetaphil,3,decent product works fine,neutral,0.0,
La Roche-Posay,3,decent product works fine,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
Cetaphil,3,it is okay nothing special,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
La Roche-Posay,3,decent product works fine,neutral,0.0,
La Roche-Posay,3,decent product works fine,neutral,0.0,
Cetaphil,3,decent product works fine,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
Cetaphil,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
Cetaphil,3,decent product works fine,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,decent product works fine,neutral,0.0,
La Roche-Posay,3,decent product works fine,neutral,0.0,
Neutrogena,3,decent product works fine,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
Neutrogena,3,decent product works fine,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
Cetaphil,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
La Roche-Posay,3,decent product works fine,neutral,0.0,
Cetaphil,3,decent product works fine,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
La Roche-Posay,3,it is okay nothing special,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
CeraVe Cleanser,3,decent product works fine,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
La Roche-Posay,3,decent product works fine,neutral,0.0,
Cetaphil,3,decent product works fine,neutral,0.0,
Cetaphil,3,decent product works fine,neutral,0.0,
Cetaphil,3,it is okay nothing special,neutral,0.0,
Cetaphil,3,it is okay nothing special,neutral,0.0,
La Roche-Posay,3,it is okay nothing special,neutral,0.0,
La Roche-Posay,3,it is okay nothing special,neutral,0.0,
Neutrogena,3,it is okay nothing special,neutral,0.0,
Cetaphil,3,it is okay nothing special,neutral,0.0,
La Roche-Posay,3,decent product works fine,neutral,0.0,
CeraVe Cleanser,3,it is okay nothing special,neutral,0.0,
Neutrogena,1,caused rash on my face,negative,-0.5,rash
La Roche-Posay,1,caused rash on my face,negative,-0.5,rash
La Roche-Posay,1,made my skin dry and flaky,negative,-0.5,
Cetaphil,1,made my skin dry and flaky,negative,-0.5,
La Roche-Posay,1,made my skin dry and flaky,negative,-0.5,
La Roche-Posay,1,broke me out badly,negative,-0.5,acne
La Roche-Posay,1,irritation and burning,negative,-0.5,
Neutrogena,1,irritation and burning,negative,-0.5,
La Roche-Posay,1,made my skin dry and flaky,negative,-0.5,
La Roche-Posay,1,irritation and burning,negative,-0.5,
Cetaphil,1,caused rash on my face,negative,-0.5,rash
Neutrogena,1,made my skin dry and flaky,negative,-0.5,
La Roche-Posay,1,broke me out badly,negative,-0.5,acne
Neutrogena,1,irritation and burning,negative,-0.5,
La Roche-Posay,1,caused rash on my face,negative,-0.5,rash
CeraVe Cleanser,1,caused rash on my face,negative,-0.5,rash
Neutrogena,1,irritation and burning,negative,-0.5,
Neutrogena,1,made my skin dry and flaky,negative,-0.5,
Neutrogena,1,irritation and burning,negative,-0.5,
CeraVe Cleanser,1,irritation and burning,negative,-0.5,
Cetaphil,1,irritation and burning,negative,-0.5,
La Roche-Posay,1,caused rash on my face,negative,-0.5,rash
Neutrogena,1,irritation and burning,negative,-0.5,
La Roche-Posay,1,irritation and burning,negative,-0.5,
CeraVe Cleanser,1,made my skin dry and flaky,negative,-0.5,
Cetaphil,1,caused rash on my face,negative,-0.5,rash
La Roche-Posay,1,irritation and burning,negative,-0.5,
Cetaphil,1,made my skin dry and flaky,negative,-0.5,
CeraVe Cleanser,1,irritation and burning,negative,-0.5,
Neutrogena,1,caused rash on my face,negative,-0.5,rash
Cetaphil,1,irritation and burning,negative,-0.5,
Cetaphil,1,broke me out badly,negative,-0.5,acne
Cetaphil,1,irritation and burning,negative,-0.5,
Neutrogena,1,broke me out badly,negative,-0.5,acne
Neutrogena,1,irritation and burning,negative,-0.5,
La Roche-Posay,1,caused rash on my face,negative,-0.5,rash
Cetaphil,1,caused rash on my face,negative,-0.5,rash
CeraVe Cleanser,1,irritation and burning,negative,-0.5,
Neutrogena,1,broke me out badly,negative,-0.5,acne
Cetaphil,1,caused rash on my face,negative,-0.5,rash
Cetaphil,1,caused rash on my face,negative,-0.5,rash
CeraVe Cleanser,1,irritation and burning,negative,-0.5,
Neutrogena,1,irritation and burning,negative,-0.5,
La Roche-Posay,1,made my skin dry and flaky,negative,-0.5,
CeraVe Cleanser,1,broke me out badly,negative,-0.5,acne
CeraVe Cleanser,1,made my skin dry and flaky,negative,-0.5,
Cetaphil,1,made my skin dry and flaky,negative,-0.5,
Cetaphil,1,irritation and burning,negative,-0.5,
Neutrogena,1,made my skin dry and flaky,negative,-0.5,
CeraVe Cleanser,1,irritation and burning,negative,-0.5,
